5,1,5,6.0,1,
5,1,14,15.0,0,
7,1,6,3.5,1,
7,2,6,4.0,0,
3,2,6,2.6666666666666665,1,
3,2,13,5.0,0,
5,2,13,7.5,1,
5,1,5,3.0,0,
7,2,8,5.0,1,
7,1,5,3.0,0,
5,2,11,4.333333333333333,1,
5,2,5,2.3333333333333335,0,
7,2,9,2.75,1,
7,1,5,1.5,0,
8,3,4,1.75,1,
8,2,6,2.0,0,
11,2,8,3.3333333333333335,1,
11,2,4,2.0,0,
5,2,4,2.0,1,
5,3,5,2.6666666666666665,0,
6,3,1,0.8,1,
6,3,5,1.6,0,
2,3,8,2.75,1,
2,2,6,2.0,0,
7,4,7,1.8333333333333333,1,
7,3,5,1.3333333333333333,0,
5,5,2,1.4,1,
5,3,10,2.6,0,
7,4,9,2.6,1,
7,3,4,1.4,0,
2,3,7,2.5,1,
2,2,5,1.75,0,
7,2,6,2.0,1,
7,3,7,2.5,0,
5,1,11,12.0,1,
5,1,4,5.0,0,
5,3,12,3.75,1,
5,3,4,1.75,0,
11,4,1,1.0,1,
11,3,18,4.2,0,
5,3,3,1.5,1,
5,3,3,1.5,0,
5,2,11,6.5,1,
5,2,4,3.0,0,
5,1,8,4.5,1,
5,1,11,6.0,0,
5,2,19,7.0,1,
5,2,5,2.3333333333333335,0,
9,2,7,2.25,1,
9,2,4,1.5,0,
11,2,5,3.5,1,
11,2,5,3.5,0,
7,2,27,14.5,1,
7,1,11,6.0,0,
7,3,7,3.3333333333333335,1,
7,2,12,4.666666666666667,0,
5,3,3,1.5,1,
5,2,10,3.0,0,
5,2,5,2.3333333333333335,1,
5,1,11,4.0,0,
5,3,6,3.0,1,
5,2,6,2.6666666666666665,0,
7,2,8,2.5,1,
7,4,25,7.25,0,
7,4,4,1.6,1,
7,4,25,5.8,0,
7,3,2,1.25,1,
7,2,5,1.75,0,
7,2,5,1.4,1,
7,2,5,1.4,0,
6,3,5,2.0,1,
6,2,6,2.0,0,
6,3,5,2.0,1,
6,2,6,2.0,0,
6,3,11,3.5,1,
6,2,6,2.0,0,
2,2,6,2.0,1,
2,2,3,1.25,0,
4,2,9,3.6666666666666665,1,
4,2,6,2.6666666666666665,0,
7,4,6,2.0,1,
7,4,25,5.8,0,
5,1,3,4.0,1,
5,1,12,13.0,0,
5,1,16,8.5,1,
5,1,3,2.0,0,
5,3,7,5.0,1,
5,2,11,6.5,0,
5,1,3,2.0,1,
5,2,13,7.5,0,
5,2,13,7.5,1,
5,1,3,2.0,0,
5,3,6,3.0,1,
5,1,3,1.3333333333333333,0,
9,3,9,3.0,1,
9,2,13,3.75,0,
7,3,11,4.666666666666667,1,
7,2,7,3.0,0,
5,3,3,3.0,1,
5,2,13,7.5,0,
10,1,7,2.6666666666666665,1,
10,2,13,5.0,0,
10,3,11,3.5,1,
10,2,13,3.75,0,
10,3,4,1.4,1,
10,3,8,2.2,0,
5,2,13,15.0,1,
5,2,12,14.0,0,
5,2,12,7.0,1,
5,3,12,7.5,0,
5,7,7,2.0,1,
5,3,12,2.142857142857143,0,
7,2,11,2.6,1,
7,2,13,3.0,0,
7,3,6,3.0,1,
7,2,13,5.0,0,
7,3,9,3.0,1,
7,2,13,3.75,0,
7,3,10,2.6,1,
7,2,13,3.0,0,
2,2,13,5.0,1,
2,6,27,11.0,0,
7,7,26,11.0,1,
7,3,12,5.0,0,
7,3,15,3.6,1,
7,3,12,3.0,0,
5,1,9,10.0,1,
5,2,15,17.0,0,
5,2,15,5.666666666666667,1,
5,2,15,5.666666666666667,0,
5,3,16,6.333333333333333,1,
5,2,5,2.3333333333333335,0,
3,5,2,1.1666666666666667,1,
3,2,17,3.1666666666666665,0,
5,5,7,2.0,1,
5,4,15,3.1666666666666665,0,
5,5,2,1.4,1,
5,2,15,3.4,0,
11,3,0,1.0,1,
11,2,17,6.333333333333333,0,
5,2,6,2.6666666666666665,1,
5,2,15,5.666666666666667,0,
5,5,17,7.333333333333333,1,
5,3,16,6.333333333333333,0,
5,5,7,3.0,1,
5,3,22,6.25,0,
5,3,7,3.3333333333333335,1,
5,3,9,4.0,0,
5,3,4,1.75,1,
5,4,13,4.25,0,
5,3,9,3.0,1,
5,2,10,3.0,0,
5,2,10,6.0,1,
5,2,15,8.5,0,
5,3,4,1.75,1,
5,3,9,3.0,0,
7,2,17,9.5,1,
7,2,15,8.5,0,
9,4,2,1.5,1,
9,2,15,4.25,0,
5,3,10,4.333333333333333,1,
5,2,15,5.666666666666667,0,
5,3,14,8.5,1,
5,1,9,5.0,0,
7,5,7,3.0,1,
7,2,15,4.25,0,
9,2,6,2.6666666666666665,1,
9,3,14,5.666666666666667,0,
9,5,20,8.333333333333334,1,
9,4,8,4.0,0,
